Game,Move,White,Black,White_moved,Black_moved,move_detail_white,move_detail_black,Result,WhiteRank,BlackRank,white_rank_text,black_rank_text,statuss
1,1,d4,Nf6,Moved,Moved,,,1--0,1455,1504,competente,competente,competente
1,2,c4,c5,Moved,Moved,,,1--0,1455,1504,competente,competente,competente
1,3,Nf3,cxd4,Moved,Take Pawn  ,,,1--0,1455,1504,competente,competente,competente
1,4,Nxd4,Nc6,Take Pawn  ,Moved,,,1--0,1455,1504,competente,competente,competente
1,5,Nxc6,bxc6,Take Knight   ,Take Knight  ,,,1--0,1455,1504,competente,competente,competente
1,6,b3,g6,Moved,Moved,,,1--0,1455,1504,competente,competente,competente
1,7,Bb2,Bg7,Moved,Moved,,,1--0,1455,1504,competente,competente,competente
1,8,e3,O-O,Moved,Castle  ,,,1--0,1455,1504,competente,competente,competente
1,9,Bd3,d5,Moved,Moved,,,1--0,1455,1504,competente,competente,competente
1,10,O-O,Bb7,Castle  ,Moved,,,1--0,1455,1504,competente,competente,competente
1,11,cxd5,cxd5,Take Pawn  ,Take Pawn  ,,,1--0,1455,1504,competente,competente,competente
1,12,Bd4,Re8,Moved,Moved,,,1--0,1455,1504,competente,competente,competente
1,13,Nc3,e5,Moved,Moved,,,1--0,1455,1504,competente,competente,competente
1,14,Bc5,Qc7,Moved,Moved,,,1--0,1455,1504,competente,competente,competente
1,15,Na4,Bc6,Moved,Moved,,,1--0,1455,1504,competente,competente,competente
1,16,Ba3,Rad8,Moved,Moved,,,1--0,1455,1504,competente,competente,competente
1,17,Rc1,Qb7,Moved,Moved,,,1--0,1455,1504,competente,competente,competente
1,18,Bb2,d4,Moved,Moved,,,1--0,1455,1504,competente,competente,competente
1,19,Nc5,Qa8,Moved,Moved,,,1--0,1455,1504,competente,competente,competente
1,20,exd4,exd4,Take Pawn  ,Take Pawn  ,,,1--0,1455,1504,competente,competente,competente
1,21,f3,Nd5,Moved,Moved,,,1--0,1455,1504,competente,competente,competente
1,22,Ne4,Ne3,Moved,Moved,,,1--0,1455,1504,competente,competente,competente
1,23,Qd2,Nxf1,Moved,Take Rook  ,,,1--0,1455,1504,competente,competente,competente
1,24,Kxf1,Bb7,Take Knight   ,Moved,,,1--0,1455,1504,competente,competente,competente
